Z-Piezo Deflection [nm]	Tip Deflection on Retraction [nm]	Tip Deflection on Approach [nm]
-980.0768	428.9148	428.3148
-977.5377	427.1833	426.1719
-974.9987	425.4348	424.1148
-972.4596	423.7205	422.0062
-969.9205	421.9205	419.9319
-967.3815	420.1548	417.7376
-964.8424	418.3205	415.6462
-962.3033	416.4862	413.4862
-959.7643	414.6862	411.3433
-957.2253	412.8005	409.1662
-954.6862	410.9319	407.0405
-952.1472	409.0462	404.8462
-949.6081	407.2119	402.6862
-947.069	405.3091	400.4405
-944.53	403.3719	398.2633
-941.9909	401.469	396.0519
-939.4518	399.4805	393.8233
-936.9128	397.5605	391.5605
-934.3737	395.6233	389.349
-931.8347	393.669	387.1376
-929.2956	391.629	384.8576
-926.7565	389.6747	382.5605
-924.2175	387.7376	380.3147
-921.6784	385.6805	378.0347
-919.1393	383.6919	375.7547
-916.6003	381.6176	373.4233
-914.0613	379.6633	371.1261
-911.5222	377.589	368.8461
-908.9832	375.5662	366.549
-906.4441	373.4404	364.1661
-903.905	371.4861	361.8518
-901.366	369.3433	359.4861
-898.8269	367.2861	357.1204
-896.2878	365.1604	354.7547
-893.7488	363.0861	352.389
-891.2097	360.9776	350.0747
-888.6707	358.8518	347.6918
-886.1316	356.7433	345.2575
-883.5925	354.6176	342.8575
-881.0535	352.4233	340.4747
-878.5144	350.2975	338.0233
-875.9753	348.1547	335.6061
-873.4363	345.9947	333.2061
-870.8972	343.8347	330.7547
-868.3582	341.6575	328.3032
-865.8192	339.429	325.8347
-863.2801	337.2518	323.4347
-860.741	335.0747	320.9661
-858.202	332.8633	318.4975
-855.6629	330.6518	316.0289
-853.1238	328.4061	313.5775
-850.5848	326.2289	311.0403
-848.0457	324.0175	308.5889
-845.5067	321.7204	306.1032
-842.9676	319.4918	303.5832
-840.4285	317.2804	301.0804
-837.8895	314.9489	298.5775
-835.3504	312.6518	296.0575
-832.8113	310.3546	293.5203
-830.2723	308.0918	290.9832
-827.7333	305.7946	288.4632
-825.1942	303.4975	285.8918
-822.6552	301.2175	283.3203
-820.1161	298.9203	280.7832
-817.577	296.6232	278.246
-815.038	294.2575	275.6403
-812.4989	291.9946	273.086
-809.9598	289.6461	270.5146
-807.4208	287.3489	267.9089
-804.8817	284.8975	265.3717
-802.3427	282.5832	262.766
-799.8036	280.286	260.1774
-797.2645	277.9546	257.5717
-794.7255	275.5032	254.966
-792.1864	273.1718	252.3946
-789.6473	270.7717	249.7374
-787.1083	268.406	247.1317
-784.5692	266.0232	244.5774
-782.0302	263.6232	241.9546
-779.4911	261.2746	239.3146
-776.952	258.8403	236.6917
-774.413	256.4232	234.0688
-771.874	254.006	231.4288
-769.3349	251.5717	228.7717
-766.7958	249.1546	226.1831
-764.2568	246.7374	223.526
-761.7177	244.3203	220.8688
-759.1786	241.886	218.2288
-756.6396	239.4346	215.5888
-754.1005	237.0003	212.9317
-751.5615	234.566	210.3088
-749.0224	232.0974	207.6517
-746.4833	229.6631	204.9945
-743.9443	227.2117	202.3202
-741.4053	224.7774	199.6974
-738.8662	222.2917	196.9716
-736.3271	219.806	194.3145
-733.7881	217.3888	191.6745
-731.249	214.8517	188.9831
-728.71	212.366	186.2916
-726.1709	209.8631	183.6002
-723.6318	207.3431	180.9259
-721.0928	204.8917	178.2688
-718.5537	202.4059	175.5773
-716.0146	199.9202	172.9373
-713.4756	197.3831	170.2288
-710.9365	194.9145	167.5716
-708.3975	192.4288	164.8802
-705.8584	189.9259	162.1545
-703.3193	187.4231	159.4459
-700.7803	184.8688	156.8059
-698.2412	182.4174	154.0802
-695.7021	179.8459	151.3545
-693.1631	177.3088	148.663
-690.624	174.8231	145.9887
-688.085	172.3202	143.263
-685.5459	169.7659	140.5887
-683.0068	167.2116	137.9316
-680.4678	164.7088	135.223
-677.9288	162.1373	132.5487
-675.3897	159.583	129.8744
-672.8506	157.063	127.1487
-670.3116	154.5259	124.4573
-667.7725	151.9888	121.8001
-665.2335	149.4345	119.0916
-662.6944	146.8802	116.4173
-660.1553	144.2916	113.7087
-657.6163	141.7716	111.0173
-655.0773	139.2002	108.3258
-652.5382	136.5944	105.6516
-649.9991	134.143	102.9944
-647.4601	131.5202	100.2858
-644.921	128.9659	97.57726
-642.382	126.4287	94.90297
-639.8429	123.8916	92.21153
-637.3038	121.3201	89.53725
-634.7648	118.7144	86.84582
-632.2257	116.2287	84.12009
-629.6866	113.6401	81.46295
-627.1476	111.0516	78.78867
-624.6085	108.5144	76.09723
-622.0695	105.8573	73.44009
-619.5304	103.3887	70.74865
-616.9913	100.8173	68.12579
-614.4523	98.22868	65.41722
-611.9132	95.67439	62.77721
-609.3741	93.13725	60.15435
-606.8351	90.56582	57.44578
-604.296	87.9601	54.80578
-601.757	85.4401	52.16578
-599.2179	82.86867	49.49149
-596.6788	80.29723	46.83434
-594.1398	77.76009	44.17719
-591.6008	75.15437	41.52005
-589.0617	72.61723	38.91433
-586.5226	70.11436	36.30861
-583.9836	67.56008	33.72004
-581.4445	64.9715	31.06289
-578.9055	62.41721	28.5086
-576.3664	59.88007	26.16003
-573.8273	57.30864	30.03432
-571.2883	54.75435	30.29146
-568.7493	52.18292	30.29146
-566.2102	49.64577	30.27432
-563.6711	47.0572	30.24003
-561.1321	44.50291	30.12004
-558.593	42.01719	30.01718
-556.054	39.39433	29.96575
-553.5149	36.90862	29.89718
-550.9758	34.35432	29.79432
-548.4368	31.83432	29.69146
-545.8977	29.31432	29.65718
-543.3586	26.76003	29.57146
-540.8196	24.25717	29.43432
-538.2805	21.6686	29.34861
-535.7415	19.16574	29.24575
-533.2024	16.61145	29.16003
-530.6633	14.10859	29.07432
-528.1243	11.53716	28.92003
-525.5852	9.017154	28.81718
-523.0461	6.548579	28.73146
-520.5071	3.960005	28.57718
-517.968	1.49143	28.49146
-515.429	-1.028573	28.40575
-512.8899	-3.531433	28.2686
-510.3509	-6.034293	28.20003
-507.8118	-8.537152	28.0286
-505.2727	-11.02287	27.87432
-502.7337	-13.52573	27.75432
-500.1946	-16.04573	27.6686
-497.6556	-18.49716	27.49718
-495.1165	-21.03431	27.4286
-492.5775	-23.53717	27.3086
-490.0384	-26.04003	27.20575
-487.4993	-28.49146	27.08574
-484.9603	-31.02861	26.9486
-482.4212	-33.48004	26.89717
-479.8822	-35.91433	26.67432
-477.3431	-38.41719	26.45146
-474.804	-40.85147	26.28003
